name,the_geom
Esso,POINT (259417.58324685704 6425682.721472573)
,POINT (543160.1672883044 6289591.547725149)
TotalEnergies,POINT (262411.5877434366 6260175.3159089405)
Carrefour,POINT (-150283.81725946217 6216166.634732099)
Avia,POINT (-37092.912242564715 5648823.350025415)
Super U,POINT (-30246.73016293115 6163905.596477065)
Casino,POINT (-266387.54146830365 6075303.611971194)
Station Shell,POINT (138686.86440319318 5363389.144956704)
Relais Quimper Sud,POINT (-455289.1921469113 6103433.351913199)
Intermarché,POINT (538571.8227806854 5583914.181757169)
Carrefour,POINT (236902.1253029077 6245010.701543245)
Super U,POINT (-10898.178148661484 6002906.4708579)
Ets Garrigue,POINT (152329.42422227937 5577666.998033444)
TotalEnergies Access - Relais de Clair Bois,POINT (241916.75666857048 6237711.735115305)
,POINT (559076.2941234543 5988650.308148676)
Esso,POINT (20843.606171470576 6095751.1242311355)
Relais Total de la Chadenede,POINT (454935.41880517034 5484219.267017559)
,POINT (736286.6152814984 6107395.9686788125)
Total Access,POINT (490864.730674371 5691394.734759334)
Relais Total De Varennes,POINT (350931.4441966638 5943446.563736624)
Dyneff,POINT (263225.6783115569 5351000.007290612)
Total,POINT (288668.3045298135 6312409.645525615)
Relais Total de Rollencourt,POINT (308181.3310917303 6518819.035956291)
Super U,POINT (264355.5377472614 6070386.159455036)
,POINT (-188206.18215987665 6073733.07916336)
Total - La Croix St Lambert,POINT (-305746.72930028505 6190063.585506254)
Total,POINT (627986.6434120942 5820454.51186628)
2 T Services,POINT (489883.7499256535 5442331.479989641)
Géant Niort Est,POINT (-42833.012729727234 5834960.870611697)
Super U,POINT (-97000.70959541455 6056574.185855991)
Auchan,POINT (732263.729259313 5351961.258441944)
Station Agip,POINT (585204.993495419 5371863.16583548)
Relais Total du Pont Loby,POINT (262842.0156865379 6625618.014790171)
C. C. Auchan,POINT (349445.5961613515 6575427.4053546395)
Total Access,POINT (650046.5374719212 5841390.433550702)
,POINT (-278792.7294874772 6033905.568615786)
Libreco,POINT (106950.37889082285 6231272.1244199965)
Relais Total De Cronenbourg,POINT (858209.4990798638 6206512.327209512)
Eni,POINT (523101.1854157411 5465289.676277076)
Super U,POINT (283189.3707000011 6573817.456671004)
Intermarché,POINT (-288734.5284948865 6061033.2603349965)
C. C. Cora,POINT (265180.62668107206 6624069.765999605)
Intermarché,POINT (-14519.590427301022 5816327.354420712)
TotalEnergies,POINT (607118.1573344314 5356528.07620411)
Intermarché,POINT (794672.4302923244 5409883.758693304)
Total,POINT (86360.64795005541 6019679.840618699)
Esso,POINT (669101.6290445616 5333713.086996234)
Auchan,POINT (861387.1362084559 6197851.5352740055)
Shell,POINT (436794.9393008364 6316481.8834831705)
,POINT (711152.8672543458 6077444.137449096)
Carrefour Boé,POINT (70498.61125548198 5493105.163660788)
,POINT (537389.2535660904 5433494.53429946)
C. C. Auchan,POINT (455307.0143973873 6430907.067903473)
Total - Relais de Galice,POINT (604737.2004055993 5392762.457975652)
Station Avia,POINT (343897.4995319092 6467465.112588222)
Super U,POINT (84310.23198523595 6080459.71651227)
Intermarché,POINT (571895.4348010917 5700363.212027552)
Total,POINT (223019.96141183804 6240795.9705914)
Total Excellium,POINT (276982.0957058265 6532073.776863657)
Esso,POINT (526683.1126709963 5495575.512987735)
,POINT (365325.76680097514 6270168.338758513)
Intermarché,POINT (78774.16899274841 5527032.836643563)
,POINT (391145.8885444608 5355484.004342395)
Auchan,POINT (331518.9613988315 6372171.968239791)
Station Service E.Leclerc,POINT (593894.0140853898 5972432.009190466)
Relais Total Lagarde,POINT (288541.7676646288 5835519.194277071)
Station Total,POINT (293410.3478583708 6280537.368259775)
Relais Total De Torfou,POINT (248055.01357845325 6201018.904606639)
Esso,POINT (232064.06891354124 6281414.038575744)
Auchan,POINT (610035.3402504144 5356964.7275544545)
Avia,POINT (685581.8451354082 6046088.603410714)
Station Total,POINT (754472.112387909 6020733.904777025)
BP Avenue Paul Vaillant-Couturier,POINT (275384.1155474381 6262620.177734319)
C. C. Auchan,POINT (185742.99352319574 6574150.930632869)
,POINT (197425.01673432896 5660281.958843322)
Intermarché,POINT (-7374.604570480154 5987719.196659426)
C. C. Géant Casino,POINT (-385107.5408775649 6232099.458318476)
,POINT (546028.9596216397 5738645.844304555)
Total,POINT (296745.65791372256 6447640.612643244)
Garage Martineau,POINT (-68034.3205558422 6155000.08545006)
Station Total Du Sauternais,POINT (-29456.139139317325 5551252.698297543)
Station du Lac,POINT (683298.3929485622 6044346.709119783)
Carrefour city,POINT (278820.78199915716 6255423.970255242)
Station Shell,POINT (-18608.878525744687 6074887.047042789)
Station Dyneff (Truck étape),POINT (358193.4379702574 5357079.0097093005)
Avia,POINT (792878.7393371724 5403936.861667173)
Esso,POINT (277624.4425635509 6244904.045541303)
Relais de Nostang,POINT (-355699.5474180157 6070112.957017866)
Total Access,POINT (167690.22264565792 6181969.940146428)
Esso,POINT (276779.817059106 6212332.49854587)
Super U,POINT (39178.605354016574 5628094.2183045335)
Station Total,POINT (746917.9717426775 6295053.787970186)
Station Avia,POINT (634233.381165755 5569259.275483701)
Station BP,POINT (245124.96212933448 6213705.682141931)
Station Service Carrefour,POINT (455988.5902436672 5482687.014335991)
Total,POINT (435595.3827319463 5404991.783359148)
Station Total,POINT (841088.2942290804 6039433.569036991)
Carrefour,POINT (688855.0945746427 5477263.228075721)
Station service des Molières,POINT (557402.3384125995 5404036.735938192)
Carrefour,POINT (799908.2980139896 5423759.976974281)
Station Esso,POINT (715258.7419569177 6205762.729049789)
,POINT (-84092.35747785536 5883202.556462545)
BP,POINT (538359.6366992844 5944845.101514452)
Agip,POINT (719381.5594859883 5655857.816320768)
Station Auchan,POINT (246488.94871807538 6238040.778285193)
Total Access,POINT (6717.441088531142 5348534.73862362)
Relais Saint-Cloud Dassault,POINT (247406.27698195732 6250289.974499392)
Avia,POINT (351251.3652812546 5942116.103112671)
,POINT (-122821.7218948266 5808685.458909828)
Avia,POINT (662699.2555108226 5712313.727996907)
Station U,POINT (615196.4012742667 5888375.721298886)
Esso,POINT (606457.2869134389 5413339.810670871)
Avia,POINT (540960.0600042152 5612551.47117168)
Station Total Access,POINT (352389.6516024121 6567999.583990082)
Total,POINT (207097.4782337639 6102866.975995289)
Relais Néflier,POINT (248792.97274682004 6306852.643506809)
Auchan,POINT (682162.1660379842 6222744.118685757)
Relais Total Des Sparnaciens,POINT (440469.65135166777 6282742.062881325)
Intermarché,POINT (182325.4406280459 6476672.32278065)
,POINT (717870.0077802519 5393460.833578295)
Agip,POINT (600617.0211484607 5379437.769959441)
Évole énergies,POINT (-184221.22268820443 5997388.206463494)
Esso,POINT (73870.69013864275 5494165.517413556)
Relais Total Des Trois Baudets,POINT (354305.24853193184 6562232.109013983)
Station Service BP,POINT (553723.2181099328 5732148.397794127)
Total Contact,POINT (-269668.4942163011 6210453.091967176)
TotalEnergies,POINT (537104.197746016 5731926.745061309)
,POINT (484108.41681965487 5534206.477817057)
Super U,POINT (128799.30025169838 6329076.13457927)
Station Total Access,POINT (343452.4776035649 6565385.320883276)
Station Total,POINT (76593.49809175177 5528195.44138886)
Relais Total de La Closerie,POINT (-88402.23627925498 6118469.236024787)
Intermarché,POINT (424031.3804449521 5405825.555028843)
Esso,POINT (542919.0047434499 5733330.947002149)
TotalEnergies,POINT (529021.6234779889 5691766.511131653)
Avia,POINT (612144.3881910348 5958156.61795141)
,POINT (652599.0822638618 5380271.498035799)
Relais Total de la Marronède,POINT (552761.9743069328 5377324.952847766)
Hyper U,POINT (86286.8876554558 5650818.653495866)
Relais Troyes Fresnoy,POINT (472145.1226511343 6142079.458390979)
Avia,POINT (355936.7803848453 6102510.646760805)
Shell,POINT (372456.38131153455 5366762.655814509)
BP,POINT (289691.8315879123 6310290.507540565)
Relais Total Des Oziers,POINT (237441.70200673176 6283050.815994368)
Avia,POINT (456074.7849253886 5782033.102269648)
Total Access Balma,POINT (166149.95051129677 5405242.199081049)
Avia,POINT (159903.0569103488 5536381.077206972)
Relais Du Rochin,POINT (79837.33692151867 6007048.750000799)
Total Access,POINT (201751.12591748624 6268326.1691288855)
Station Total,POINT (104116.79691242547 6310108.495667261)
Station Dorgelès,POINT (598565.9483986455 5365161.349889117)
E. Leclerc,POINT (181275.0744407169 6537797.622809307)
Intermarché,POINT (248885.90225773427 5302530.614999054)
Relais Total des Bas Banquets,POINT (562652.811251457 5439321.245115207)
,POINT (-33871.89390841043 5451977.092493813)
Intermarché,POINT (-230460.43372502056 5960290.710314498)
Station Avia,POINT (181675.03423918804 6239727.263726163)
C. C. Auchan,POINT (-106841.54182467426 5564519.536028697)
BP,POINT (234216.20862904759 6279274.202007121)
Carrefour,POINT (316232.70250648813 6427039.752886544)
Shell,POINT (500483.5027833964 5993625.5861855345)
Station Total,POINT (244454.6295516246 5575804.925636698)
Total,POINT (310003.7202116088 6340656.211602989)
Station Agip,POINT (431561.36476068146 5400498.182870381)
Total,POINT (264522.43905980774 6242019.127820257)
Fulli,POINT (326469.2643935689 6178480.085594682)
,POINT (72614.5387406333 6135868.784009434)
Super U,POINT (664080.7860513126 5710654.561411675)
Auchan,POINT (771866.1613106267 5393518.798479475)
,POINT (59434.71178087657 6194881.045267907)
Avia,POINT (655260.9539277105 6219539.29664589)
Intermarché,POINT (680161.7993162255 5329481.834523498)
Intermarché,POINT (560294.8974572193 6000356.244804119)
Intermarché,POINT (475981.43720675015 5681443.888217806)
Total Access,POINT (481949.5534069046 5436098.789466138)
Total Access,POINT (-305602.9824418237 6190077.982388023)
,POINT (688294.1667924845 6214157.75387006)
Relais Total Claude Debussy,POINT (260794.34931314105 6266111.7050362155)
Shell,POINT (206561.0741354274 6152762.809729434)
Esso,POINT (342883.8576445929 6162929.379190907)
E.Leclerc Express,POINT (620672.8192835872 5373173.552709839)
Station essence de Cora,POINT (355872.9609207735 5744756.423066897)
Avia,POINT (275688.04002120194 6317055.526721004)
Esso,POINT (86475.8970188737 6020095.544804666)
Super U,POINT (-116769.96022929014 5890227.177128908)
Esso,POINT (261271.74294940796 6279583.422586409)
Relais Total de la Couette,POINT (141645.3245863624 6232258.070252159)
Super U,POINT (111632.99987519467 5341785.541198821)
Station U,POINT (529122.5791241892 6400105.346032805)
Avia,POINT (40780.09207636492 5893457.761323851)
Avia,POINT (-292239.5562459016 6186909.356896944)
Relais Total De L'Aar,POINT (863647.0999827447 6207914.182578072)
Esso,POINT (242091.82883174103 6283954.925113737)
Carburant Loti,POINT (604866.1751676324 5391339.5370944645)
Esso,POINT (272394.96458065714 6231204.31457356)
Eni,POINT (169724.4750204142 5626674.461819221)
C. C. Auchan,POINT (75435.79765139986 5528153.105877332)
,POINT (239920.55329576734 5469631.928251649)
Avia,POINT (591263.71262913 5860226.324732069)
Relais Total Access Des Bergeronnettes,POINT (180211.70613686324 6566448.227309481)
Intermarché,POINT (462466.5051838585 5804702.37282923)
,POINT (62938.50388554393 5412225.160878596)
Auchan,POINT (73485.45790880355 5652109.231343304)
,POINT (486905.2411021923 5686860.882940846)
Relais D'Orléans Saran,POINT (206814.88257443608 6103220.376615366)
Relais Total de Vinassan,POINT (344269.09512412624 5344874.199111076)
Station Carrefour,POINT (348138.9057145219 6565275.515235066)
Station Dyneff,POINT (414067.3620671805 5375453.049042574)
Carrefour,POINT (-131575.0851504759 6164896.196084671)
,POINT (339742.7221770318 6549535.593607693)
Avia,POINT (24601.57406946622 5842499.055291372)
Carrefour,POINT (-395721.42017868947 6086918.129290312)
Super U,POINT (-75397.26997563631 5712693.770458966)
Total Access,POINT (428395.02656040486 5402984.582301854)
Total Access,POINT (17657.185935054833 6359948.263679433)
Relais Total Access Anne De Bretagne,POINT (146367.73115674374 6041287.929927356)
Station essence Auchan,POINT (631530.7999641232 5652574.924823617)
Citroën Garage Perret,POINT (-57424.80497875677 6015763.26065376)
Le nouveau relais de Berre,POINT (575877.166007531 5386780.578826911)
TotalEnergies - Relais de Vélizy,POINT (241856.07641413907 6237846.276869694)
Relais Total du Quercy,POINT (160377.23341333182 5531430.630611)
Station Service E.Leclerc,POINT (95742.45425902908 6336318.829345231)
Total access,POINT (766374.7930936926 6119401.32317282)
Relais Ressons Est,POINT (303082.68690636585 6364177.505741163)
Intermarché,POINT (225280.18122095556 6195175.53800345)
Station Total,POINT (685747.7334405883 6334890.086250135)
Super U,POINT (270962.8615954998 5675228.480458054)
Total,POINT (-113221.72938389813 5425427.197517006)
Auchan,POINT (-178997.15483256322 5982547.727896982)
Géant Casino,POINT (-371885.2455320706 6069461.974326178)
Station-service Total Access,POINT (-74307.50782051557 5604637.9982517)
Station Total Des Salines,POINT (-214846.58383517075 5893348.488002997)
Station Total Echinard et Faure,POINT (535919.257426267 5652241.401800176)
BP,POINT (227350.66808996507 6234633.822409429)
Dyneff Pneus Plus,POINT (513710.51807530026 5488083.885619418)
Auchan,POINT (21119.14417508209 6364425.756945622)
Relais Total du Jer,POINT (-4236.908875184627 5326758.627188801)
Fullli,POINT (325865.6789825387 6178067.901227656)
Intermarché,POINT (-120283.0141155915 6292003.824646169)
Carrefour,POINT (655488.7247378228 6218067.463567279)
Super U,POINT (-9858.476368550466 5573947.0723908385)
Intermarché,POINT (684486.7062488822 5330903.035422618)
Station Carrefour,POINT (358707.1328924721 6472069.891672762)
Intermarché,POINT (354893.9839228902 5736594.76181579)
Total,POINT (371695.4458002681 6337927.331813766)
Intermarché,POINT (467352.1840513864 5400287.832269489)
Total Energies,POINT (87727.97412352012 5329128.859277749)
,POINT (641472.1314296711 5653472.574424196)
TotalEnergies,POINT (-16028.403673563971 5694317.130636692)
Esso,POINT (275658.4846963963 6317439.517784571)
,POINT (411531.1701084373 5379603.552865759)
Total Access,POINT (225000.92514635157 6237896.722130979)
Station Vigouroux,POINT (349557.43885375146 5715187.149609644)
Relais Total De Morainvilliers,POINT (217592.39039507767 6264846.421680664)
Hyper U,POINT (-297628.4771354586 6187209.6365315225)
,POINT (-83155.65962257536 5884482.475799481)
Total Access,POINT (622518.0622949256 5678172.50651705)
Auchan,POINT (211775.56851486038 6087240.200450733)
Station Esso Cabriès,POINT (600642.5578396486 5378221.189170391)
Station Shell,POINT (-14659.396575788292 6010717.666905)
Shell,POINT (372252.1768376234 5366952.847984177)
Super U,POINT (159794.84323334866 6012642.892823461)
Relais Total de Mauguio,POINT (443992.7573879878 5406558.545934661)
Station Total De Malere,POINT (74775.94023777366 5500600.423067297)
Le Relais de Guzet,POINT (127407.90680432419 5308870.165343506)
Relais Total Aire de Saint-Martin sur le Pré,POINT (483373.8083679609 6273314.350824168)
TotalEnergies - Bellerive,POINT (379717.4622653037 5799243.164616926)
Intermarché,POINT (264577.86503427377 6422852.784500722)
Station Marché Sa Auto Pieces,POINT (373469.12151097547 6342571.048111175)
Total Access,POINT (-502652.2847627763 6175414.394145188)
Agip,POINT (596104.8970961877 5364757.3621212905)
Relais des Cigognes,POINT (819354.2991104998 6121815.444875001)
Carrefour,POINT (186546.13025342196 5430134.152741669)
Carrefour,POINT (249865.1130265482 6578007.535820293)
Esso Aquitaine 2,POINT (-64501.28482094346 5603939.652607678)
Intermarché Sorgues,POINT (542188.3481336791 5468158.302364043)
Total,POINT (661311.4576830012 5329885.713017357)
Carrefour,POINT (207802.53136065212 6269148.923646913)
Dyneff,POINT (-1776.6702050097258 5853057.414124046)
,POINT (640099.0055107361 5652338.9630732685)
Relais Total du Viguier,POINT (259972.32166532718 5343542.654890679)
Esso,POINT (154425.38099078237 6050935.253138096)
C. C. Carrefour,POINT (-352322.99349132506 6200938.316618154)
Total Access,POINT (54851.688344917486 5597961.156952589)
Super U,POINT (43027.23184531426 6165419.537683342)
Intermarché,POINT (211752.636699757 5451971.328686968)
Intermarché,POINT (160665.85145711157 6179696.08687403)
Intermarché,POINT (5666.273400868418 5370717.66911668)
Avia,POINT (675747.8479228832 5760600.63658562)
Intermarché,POINT (487804.95862263086 5434222.060545599)
Hyper U,POINT (-169003.31396320814 6113508.245211801)
,POINT (273224.428370456 6222525.650533847)
Avia,POINT (564976.9061843917 5629194.18118283)
Total Access,POINT (158119.217730132 5416592.499198437)
Avia,POINT (-66240.8411077227 5586276.271571979)
Total,POINT (705141.4255083747 5927261.407559957)
,POINT (195342.2290615868 6475296.643563621)
Auchan Saint-Genis-Laval,POINT (533399.4405646196 5728988.9286748655)
